word,occurences
prevented,1
comes,1
larger,1
reasons,3
powerful,2
army,12
substitute,3
in,148
improve,1
perpetual,4
independence,18
assumes,1
poison,1
cent,1
preparatory,1
controlled,1
ambitious,1
world,12
sit,1
means,5
passive,1
senate,4
who,57
asserted,3
burden,2
criminal,2
having,1
addition,1
ratified,2
despot,1
benevolent,1
afterwards,1
radical,1
knowledge,2
shakes,1
flags,1
none,2
independent,4
java,1
passed,1
back,2
congratulated,1
bacon,2
recalled,1
name,1
difference,4
before,9
time,14
cession,1
allies,1
salaries,1
race,6
violated,1
favor,2
onetwentieth,1
punish,1
protected,2
only,12
restored,1
now,17
twentyfive,1
promised,6
commanded,1
chance,1
ideas,1
history,8
positiveness,1
pledged,1
trust,4
preferred,1
imposed,2
arraign,1
doctrine,10
believed,4
visits,1
valuable,1
three,3
ship,1
western,1
dead,4
enjoyment,1
forcible,5
extending,1
suppose,2
banks,1
personification,1
on,16
note,1
unrestrained,1
wear,1
incorporates,1
demanded,2
unless,2
traditions,1
shed,1
suggest,1
abhorred,1
jefferson,6
dared,1
declare,2
price,1
discharging,1
invite,1
colonize,1
civilization,4
asserts,1
centuries,1
conspicuous,1
finally,2
demand,2
trusts,2
what,24
manner,2
darkness,2
soon,2
us,17
comparatively,1
living,2
beneath,1
argument,12
protest,5
longer,1
conquer,1
departure,1
limitations,1
administration,2
draw,1
florida,1
wage,1
terror,1
foreign,5
desire,5
crowds,1
side,1
solely,1
owned,1
stupendous,1
inspiration,1
henry,3
expected,3
staked,1
more,19
exercised,1
determining,1
permanent,4
glories,1
filipinos,33
status,1
cause,1
destroy,2
plain,1
shield,1
warrant,2
own,17
soldier,2
exercise,1
spurn,1
spoken,2
control,3
acting,1
elapsed,2
uttered,1
likely,2
threequarters,2
near,2
collectors,1
victim,1
condemned,1
fight,3
fact,6
termed,1
proficiency,1
campaign,1
another,3
lively,1
worlds,2
sirs,1
embodied,1
they,29
texas,1
nation,32
challenges,1
while,9
come,2
countrys,1
central,2
punishment,1
march,1
certain,3
live,2
been,35
commercial,2
into,9
responsibility,5
extend,1
taught,1
minds,1
important,2
bounded,1
inalienable,1
results,2
revolution,1
arbiter,1
ratify,1
constantly,1
protect,3
risen,1
prior,1
submitted,1
sixty,1
bay,1
look,1
remove,1
races,3
territory,6
stamped,1
have,58
province,1
you,3
disclose,1
till,1
indication,1
work,3
democratic,9
church,2
lose,1
carefully,1
finds,2
baldness,1
solving,1
than,24
silent,1
definition,2
involved,1
scattered,1
propriety,1
parliament,1
becomes,1
pride,2
honest,3
combined,2
growth,2
occupy,1
molestation,1
sent,1
calculated,1
pretense,1
whom,1
criticize,2
violation,1
alive,1
required,1
gives,4
avoid,3
overcame,1
philippines,9
shaping,1
sentence,2
those,25
seas,1
consists,1
interested,1
warned,1
store,1
opportunity,1
spoke,2
speakers,1
code,1
weakness,1
expressed,2
any,19
rio,1
reach,1
ricans,1
farreaching,1
shores,2
although,1
seeds,1
increase,3
reward,1
branch,1
deliberately,3
fellow,1
statute,1
profits,4
conceive,1
gradually,1
professional,1
out,10
tends,1
editors,1
fulfilled,1
fighting,2
importance,3
politics,4
carpetbag,1
decades,1
belief,2
then,3
power,7
howe,1
greece,1
establishment,2
created,4
legacy,2
special,2
just,6
higher,1
belongs,2
natural,4
trampled,1
however,2
helpless,2
beginning,1
paying,1
holy,1
adjournment,1
apply,2
had,14
republics,4
hastening,1
limit,1
fire,1
greatest,1
fought,2
shining,1
governed,3
standing,6
spread,1
escape,1
recommend,1
retaining,2
receive,2
well,5
battle,1
example,3
pursued,1
wisdom,2
free,4
reflection,1
grave,1
full,2
philadelphia,1
seize,4
saved,1
else,1
girt,1
these,3
crushed,1
intervention,1
toward,2
disguised,1
leaves,1
yoke,2
england,2
remains,1
loved,1
waved,2
read,1
save,1
lost,1
secret,1
monarchical,1
thick,1
humanity,1
equal,4
bad,2
check,1
antagonistic,1
neighboring,1
avenge,1
low,1
white,1
parties,1
practice,1
positive,1
international,2
inconsistency,1
regular,1
outside,1
applied,2
baser,1
sprit,1
duties,5
began,2
strange,2
behalf,1
generally,1
complied,1
strong,1
order,2
uplifted,1
washington,4
king,2
workers,1
first,11
haul,2
behold,5
becoming,2
account,1
path,1
were,13
brother,1
official,1
proceeds,1
cared,1
latitude,1
mcenery,1
acquisition,4
admiral,1
arrayed,1
observe,1
secures,1
stimulus,2
involve,1
citizenship,1
about,3
indicates,1
remainder,1
say,11
denied,4
either,4
exist,1
leave,2
planted,3
legitimate,3
injury,1
100000,1
message,1
citizen,7
gettysburg,1
replied,1
commodities,1
giving,3
doing,1
forth,4
system,3
maxim,1
complacent,1
incapable,3
spain,7
preparation,1
sunlight,1
delivered,1
security,2
support,5
united,10
share,4
necessity,1
stands,1
because,6
grecian,1
presented,3
error,1
disputes,2
inaugurated,1
cubans,10
thoughts,1
months,1
weapon,2
states,12
principles,9
51898,1
know,2
compel,3
blame,1
love,4
am,2
congress,5
better,4
follow,1
souls,1
warfare,1
latter,2
incapacity,1
presumption,1
rights,22
man,13
speaks,1
men,11
extraordinary,1
emergency,2
second,4
equally,2
irritation,1
owe,3
consent,7
missionaries,3
far,1
gain,1
bullying,1
fully,1
interests,3
drawn,1
retained,1
distant,1
policy,13
pledge,1
interest,2
profitable,6
help,1
securely,1
assert,2
clay,4
clear,1
speech,2
minister,1
bear,1
attention,1
left,2
extent,1
issue,3
public,1
happens,1
tender,1
as,53
off,1
san,1
shows,1
sovereignty,3
america,3
stronger,2
virtue,1
following,1
written,2
belong,1
is,121
form,7
welldisciplined,1
weaker,1
puerto,4
parents,1
mountain,1
unfriendly,3
territorial,1
after,5
act,1
ready,2
exterior,1
recognizes,1
aid,1
village,1
expenditure,1
join,1
monopolies,1
thing,1
instituted,1
unwise,2
aroused,2
consumption,1
apparent,1
constitutional,1
assent,1
do,18
approach,1
serious,1
young,2
position,7
tried,1
overshadowing,1
seems,1
entered,2
systems,1
death,2
per,1
stamp,1
services,4
making,4
transplanted,1
countrymen,2
protectorate,2
my,6
it,129
repeat,1
exploitation,1
inevitably,1
advocate,2
generously,1
possible,3
lest,1
quick,1
educated,1
gospel,3
request,1
daily,1
human,11
responsible,1
coming,2
european,7
clash,1
peace,2
make,15
fighters,1
soil,4
lord,1
civil,2
negatives,1
submitting,1
country,11
ended,1
devoted,1
resistance,1
owners,1
capable,4
its,23
least,2
goodness,1
islands,24
investigation,1
existence,3
contend,1
most,5
disposition,1
complications,1
lincoln,6
obliterates,1
exultation,1
carrying,2
resolutions,1
sought,1
passes,1
partisans,1
errors,1
irresponsible,1
merchandise,1
holding,1
labor,4
mock,1
renders,1
discuss,1
day,4
bayonets,1
dispensation,1
debt,4
prominence,1
designs,1
mexico,4
service,1
quote,1
birth,2
tend,1
good,6
find,1
semicitizenship,1
influences,3
wages,1
opinion,3
dollar,2
priceless,1
cursed,1
buy,2
nations,20
objections,1
destroyed,1
accompany,1
forced,1
highwayman,1
years,6
distrusts,1
committed,2
understand,2
invertebrate,1
educate,2
brethren,1
expression,1
go,2
deeply,2
enter,3
complement,1
feared,1
dangers,2
extinguish,1
mission,2
disturb,1
bullet,1
protects,1
throughout,1
landmarks,1
purchasers,1
onward,1
thrash,2
25000,1
private,1
mammon,1
representation,2
return,2
flag,16
intended,2
harbor,1
society,5
limited,1
emphasis,1
sacrificed,1
establish,1
successful,1
hostilities,4
forever,1
of,390
highest,1
life,5
defeated,1
reign,1
shalt,2
brotherhood,1
paralyzing,1
determined,3
industry,1
cuba,6
sentiment,1
argued,1
agreed,1
number,4
interference,1
result,2
writ,1
enjoys,1
consider,4
consideration,1
various,1
principal,1
for,66
department,1
nearly,1
law,10
desires,2
providence,2
boast,1
decreed,1
cannot,11
louisiana,1
operation,1
confuse,1
struggling,2
past,4
annul,1
thrown,1
absence,1
recognized,2
blood,6
thou,2
fell,1
signed,2
webster,1
thrift,1
usurp,1
many,4
indorse,1
father,1
forefathers,2
single,1
may,10
addressed,1
different,3
needs,2
coaling,1
learning,1
whether,3
struggles,1
area,1
defense,4
proposition,2
correcting,1
land,2
him,5
pay,4
vast,1
inclined,1
imitate,1
anything,1
thy,1
vied,1
advance,2
temporary,2
allloving,1
during,4
appropriation,1
which,60
sins,1
promise,3
believe,6
at,25
disregarded,1
yet,8
without,16
bound,1
armies,3
storm,1
compulsory,1
democracy,3
compare,1
employ,2
to,316
words,1
ratification,5
looking,1
hatred,1
says,3
kings,1
offered,1
will,31
pocketbook,1
stealing,1
american,30
poet,1
selfgovernment,17
june,1
urged,2
adoption,2
compensation,2
exploit,2
refused,2
physical,2
resist,1
restate,1
visited,1
treaty,19
done,1
itself,3
hate,1
seeks,1
surely,1
derive,2
creature,1
inhabit,1
propositions,2
goes,1
fraction,1
gunpowder,1
bowed,1
built,1
amalgamation,1
oppose,3
officials,1
attached,1
revolt,1
preach,1
heart,2
rebuked,1
i,26
thought,1
turn,1
arise,1
disobey,1
wealth,3
bimetallism,1
honors,1
be,78
immeasurable,1
spains,3
republican,33
dependence,1
exponent,1
formal,1
nothing,2
excuse,3
worship,1
again,3
civilize,1
conjecture,1
accept,2
securing,2
appropriate,1
political,7
claim,2
rise,1
from,33
sacrifice,1
namely,1
sin,1
given,5
advancement,1
subject,7
opposing,1
known,3
conquering,1
station,1
guarantees,2
affairs,2
our,79
december,1
gave,2
war,18
evil,1
blinded,1
uplift,1
an,29
wellequipped,1
methods,1
hold,9
twilight,1
plundering,1
his,25
effective,1
paper,1
resisted,1
privileges,1
incomes,1
introduced,1
hypocritical,1
considerable,1
doctrines,2
respected,1
expenditures,1
india,2
once,7
ignorant,3
alliance,1
missionary,1
question,12
cares,1
see,2
or,35
where,2
let,9
abandonment,2
legislate,1
over,11
justice,1
dissolves,1
suffer,4
win,1
become,3
sorrow,1
nazarene,1
choose,1
cleancut,1
tax,2
organic,1
perfect,1
million,2
repudiate,2
mere,1
shape,1
confined,1
particular,2
arena,1
measure,4
population,2
military,5
taketh,1
hands,4
farmer,2
supply,1
laid,1
permitted,2
constitution,10
effect,1
thus,1
other,14
used,7
repugnant,1
propose,1
1776,3
authority,8
censure,4
pleases,2
why,1
covered,1
sacrifices,1
obliterate,1
retreat,1
much,7
less,4
disputed,1
midst,1
turpitude,1
lacking,1
accomplishment,1
month,1
easier,1
force,16
four,1
obtaining,1
cover,1
rejected,3
might,5
by,63
potent,1
deceived,1
common,1
foundation,2
defending,1
earth,3
me,6
source,1
christianity,3
trusted,1
sword,2
associated,1
reason,1
stolen,1
classes,1
age,1
govern,5
enjoyed,4
unto,1
neighbors,1
heaven,1
sixteen,1
omnipotent,1
face,2
representing,1
recently,1
based,3
ours,1
being,7
failure,1
venture,1
prizes,1
open,1
advanced,1
contained,1
sooner,1
insult,1
toil,1
commerce,3
immediate,1
seeking,2
assumed,1
reject,2
ask,1
place,10
case,3
washingtons,1
constant,2
care,1
new,6
righteousness,2
inconsistent,1
shall,10
obscure,1
tyrants,1
release,1
art,1
orient,3
favors,1
1859,1
ones,1
mens,1
attachment,2
questions,3
doors,1
principle,5
that,131
all,23
paramount,1
elected,1
creator,2
dare,5
innocent,1
heretofore,1
imperialists,1
enlarges,1
lives,4
rapid,1
constitutions,1
cost,2
this,44
prove,1
discovered,1
few,6
national,5
resting,2
platform,9
describes,1
violence,2
contest,6
followed,1
thrones,2
contemplated,2
denies,1
surpassing,1
expense,5
science,1
echoes,1
naval,2
some,13
rightly,1
stones,1
expansion,6
sure,2
expressly,1
therefore,3
caney,1
delusion,1
endured,1
dominated,1
faraway,1
thousand,4
condemn,1
extended,1
part,4
dynamite,1
house,2
economic,1
broke,2
revolutionary,2
voluntary,1
increasing,2
borne,1
even,6
became,1
brutal,1
breastplate,1
equator,1
taxes,1
issues,1
populated,1
victims,2
policies,2
since,2
placed,1
both,8
lot,2
injured,1
cemetery,1
monroe,2
mexican,1
bring,4
stimulate,2
use,1
christian,2
possibilities,1
really,1
patriots,3
swaggering,1
enthusiasm,1
gratitude,1
proper,1
enough,4
seventy,1
weakening,1
protection,2
convene,1
mean,2
each,3
avowed,1
foreigners,1
delayed,1
through,1
violates,1
uninhabited,1
manila,5
spill,1
channels,1
instrumentalities,1
powers,2
head,1
colonial,6
markets,1
towards,1
existed,1
jesus,1
fair,3
gatling,1
disciples,1
realized,1
give,12
floated,1
trespass,1
destiny,12
measures,1
respects,1
waiting,1
gentlemen,1
connection,1
feet,1
financially,1
cannon,1
due,3
third,3
taken,7
discourage,1
armaments,1
friends,1
confidence,1
havana,1
acquire,1
inferior,1
complete,2
method,3
try,1
theory,2
restrains,1
factor,1
already,4
welcomed,1
ourselves,2
diplomacy,1
forts,1
triumph,1
rico,2
subsequent,1
ordinary,1
requires,1
respect,5
commandment,1
derived,1
reigned,1
imperialism,16
freely,1
safety,1
japan,2
session,1
exclusion,1
traders,1
proclaim,1
earnest,1
servant,2
representatives,1
views,1
ascertain,1
word,2
until,4
approve,1
down,3
solution,1
handiwork,2
fleets,2
effects,1
so,12
hesitate,1
answer,3
career,2
arouses,1
sympathy,3
deny,2
bestowed,1
end,2
offensive,1
honorable,2
1896,2
realizing,1
rapidly,1
chosen,1
advocates,2
when,41
belonged,1
briefly,1
neighbor,3
expect,5
eloquent,1
extends,1
two,3
plunders,1
7000,1
makes,2
unrighteous,1
mother,1
permanently,4
departed,1
provide,1
hundred,1
idea,7
subjects,3
economy,1
view,1
gloried,1
prepared,1
risk,2
accused,1
god,6
aiding,1
days,2
wrong,1
converts,1
covers,1
treaties,1
kill,2
press,1
aliens,1
felt,2
leaders,7
juan,1
planting,1
told,1
called,1
welcome,3
present,4
discussion,1
reaching,2
hope,2
believes,1
thousands,1
colonists,4
everwidening,1
but,54
militia,1
except,1
quarried,1
conscious,1
applicable,1
substitution,1
expanded,1
unable,1
allwise,1
unknown,1
circumstance,1
maintain,2
invoked,1
supported,2
evasion,1
prompt,2
nineteenth,1
date,1
occupations,2
cast,1
enters,1
course,2
encouragement,3
varies,1
education,1
curse,1
class,2
vicepresident,1
differs,2
learn,1
facilitated,1
suggested,1
true,6
china,2
accepted,4
empire,4
profit,1
religious,2
howsoever,1
last,4
fourth,2
held,2
europe,1
tyranny,1
santiago,1
was,27
bloodshed,1
gang,2
early,1
unsound,1
predominating,1
can,40
exchange,1
dispute,1
willing,6
adopted,5
supporting,1
nor,4
chief,1
domestic,1
iii,1
made,8
crown,1
should,10
future,4
natives,3
golden,1
citizens,9
relation,1
breaking,1
defended,1
democrats,1
manifested,2
soldiers,4
influence,8
unjust,2
el,1
grown,1
up,4
aristocracies,1
conflict,2
imperialistic,2
century,5
earlier,1
proposed,1
adds,1
promulgated,2
within,3
contrary,1
whose,6
tracts,1
justly,1
fixture,1
alternative,2
grande,1
boldly,1
endeavor,1
seizure,1
establishing,1
evils,1
experiment,2
owes,2
unanimous,2
admit,1
plutocracy,1
purpose,4
declaration,6
seek,2
friendly,2
fall,1
party,20
colonies,2
great,6
greenback,1
secured,4
matter,7
courage,2
trample,1
rican,1
boers,2
proselyte,1
contribute,1
possession,1
injustice,2
mind,2
problems,2
wearing,1
impossible,2
mr,2
appeal,1
command,2
disregard,2
contractors,1
freedom,2
shineth,1
prevent,3
navy,1
reigning,1
unfriendliness,1
fellows,1
opinions,1
did,10
governing,1
intelligence,1
express,1
object,1
cultivate,1
south,4
plausible,1
one,19
ought,6
americans,1
george,1
loins,1
openly,1
fallen,1
anothers,1
greeted,1
proclaiming,1
capacity,2
hearts,1
statesmen,1
defend,3
rest,1
cheapness,1
summed,1
peaceful,1
opposition,1
would,36
voice,3
cowardly,1
subservience,1
arisen,1
precedent,1
according,2
reference,1
found,2
beings,1
glory,3
stars,1
victory,3
language,5
hemisphere,1
percepts,1
hand,4
light,3
engaged,1
controlling,1
later,1
molded,1
quoted,1
treat,1
arbitrary,3
ideals,3
claims,1
property,2
retain,1
run,1
aside,1
absorbed,1
stripes,1
residing,1
sovereign,1
withdrew,1
office,1
large,8
enlarged,1
shod,1
activity,1
justify,4
regard,3
forgotten,1
state,4
productive,1
vassalage,1
ten,3
does,7
ever,5
pecuniary,6
densely,1
obligations,1
patrick,1
with,48
conclusion,1
corporations,1
too,2
greed,1
philosophy,2
nature,1
title,9
weight,1
eight,1
happier,1
take,8
ye,4
strength,2
convince,1
religion,2
best,2
people,53
high,2
situation,2
divine,2
lands,2
assimilation,1
enunciated,1
wider,1
eternal,1
president,11
declares,1
english,6
arts,1
brute,1
occasion,2
safer,1
welfare,5
seen,1
ambition,1
proximity,1
away,2
christ,1
lay,1
spaniards,1
around,1
value,2
settled,3
dewey,1
others,8
calculate,1
never,10
bill,2
conquest,8
sympathies,1
chairman,3
prestige,1
guardian,1
call,2
burdens,1
promises,2
scale,1
purchase,3
vote,4
shot,1
assailant,1
observations,1
character,2
action,3
robber,1
he,35
partisanship,1
standard,1
despotism,1
duty,13
convention,3
meets,1
shedding,1
universal,4
paths,1
precision,1
provided,1
reckon,1
repeal,1
put,1
them,31
necessary,9
need,1
not,64
selfevident,1
ascertained,1
said,14
half,1
menace,2
resolution,5
politic,1
body,2
obligation,5
assertion,1
letter,1
franklin,4
annexation,5
laws,8
miles,1
ancient,1
fifty,1
crime,2
weapons,1
beguile,1
discharge,1
likeness,1
heritage,1
everywhere,2
members,2
merits,1
himself,4
samaria,1
polls,1
there,19
among,5
insist,1
philippine,21
committee,2
their,44
send,1
sacred,3
dealing,2
ruler,1
fixed,1
deposit,1
republicans,13
relative,1
unreservedly,1
stated,1
possessions,1
encourage,1
deal,3
waged,1
sufficient,3
set,4
endangering,2
amend,1
arguments,1
criticism,1
rests,2
slavery,1
neither,1
supporter,1
individuals,3
easy,1
imperative,1
teachings,3
passionate,1
today,5
collectively,1
going,1
extension,1
imperial,2
structure,1
fleet,1
carry,2
able,1
argue,1
floats,4
wherever,1
aided,1
such,8
residence,1
named,1
described,1
very,5
stable,2
